date,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
2013-03-01,7.326389,12.203125,9.182292,20.477967,404.861111,68.244792,1.173958,1026.569792,-20.148611,0,2.917708
2013-03-02,31.475694,40.506944,31.757878,56.303763,939.715278,32.601112,0.260417,1026.552778,-16.271875,0,1.145139
2013-03-03,79.291667,111.104167,49.286458,75.661458,1771.142361,22.788194,5.257292,1014.215278,-12.325347,0,1.463194
2013-03-04,22.193182,40.359375,18.818692,40.877151,726.340278,56.833333,9.610764,1017.263194,-12.773264,0,2.227083
2013-03-05,131.035354,159.236111,70.756944,104.657828,2021.434028,79.527778,6.630556,1010.551389,-7.916319,0,0.992014
2013-03-06,203.788194,231.388889,100.439136,127.780331,2820.671875,45.600694,7.293056,1007.146528,-4.805208,0,1.072569
2013-03-07,241.020833,279.434028,83.675347,140.277778,3762.159722,48.1875,9.114236,1001.975694,-2.632986,0,1.236458
2013-03-08,201.432292,247.270833,59.804706,113.389783,3049.585069,92.114583,10.046875,999.106597,-2.046528,0,1.809375
2013-03-09,58.612689,227.690972,28.461205,42.293149,1097.309343,90.173611,7.071875,1004.055556,-11.176042,0,3.558681
2013-03-10,36.022096,60.051452,21.336174,46.215278,748.65625,85.96875,5.686458,1020.157292,-14.454514,0,2.254861
2013-03-11,122.84375,160.107639,84.357639,83.013889,1622.520833,79.986111,5.981944,1013.365625,-7.462847,0,1.411806
2013-03-12,126.295139,123.784722,30.597222,80.517361,1758.973958,39.829861,4.958681,1008.567361,0.620486,0.148958,1.184722
2013-03-13,17.201389,21.277778,13.243056,34.5625,506.767361,73.805556,4.431597,1022.310417,-11.578125,0,2.160069
2013-03-14,96.923611,106.809028,50.152778,72.979167,1430.034722,76.052083,3.674653,1021.173264,-4.409375,0,1.731944
2013-03-15,205.020833,223.274306,68.0625,103.895833,2184.421875,53.305556,5.8375,1014.161458,-1.498958,0,1.109028
2013-03-16,238.131944,234.295139,64.659722,94.989583,2330.269097,80.579861,9.349306,1016.436458,0.0875,0,1.652083
2013-03-17,284.1875,290.5625,68.020833,113.243056,2598.895202,101.802083,9.702083,1001.610764,2.38125,0,1.110764
2013-03-18,69.46875,98.0625,13.739583,39.180556,814.537879,89.151729,8.2625,1000.898264,-10.370139,0.001042,3.612153
2013-03-19,36.517361,36.75,9.072917,41.267361,706.852273,29.951615,1.860069,1008.640972,-1.497222,0.307986,1.835417
2013-03-20,46.833333,43.902778,10.895833,38.232639,848.248737,42.369769,1.490972,1016.850347,-3.727431,0.278819,1.796181
2013-03-21,134.326389,142.861111,23.78125,72.571181,1363.020833,23.239583,3.782639,1004.600347,-2.323611,0,1.4625
2013-03-22,76.076389,117.138889,21.493056,51.881944,863.868056,52.946181,6.462847,1011.281944,-6.213194,0,2.436458
2013-03-23,50.270833,77.215278,25.805556,49.136679,1060.40625,36.189719,4.540278,1008.309722,-7.322917,0,2.653819
2013-03-24,17.121528,29.923611,9.190972,30.726326,410.795455,64.690655,4.777431,1015.940972,-14.228125,0,2.224653
2013-03-25,98.065972,126,40.008836,69.791033,1332.292614,36.016086,5.042014,1015.017708,-6.852083,0,1.71875
2013-03-26,178.857639,214.887153,57.180556,83.824179,1712.243056,22.33249,7.195833,1007.219792,-1.917014,0,1.463889
2013-03-27,93.572917,119.241319,16.547348,44.400884,990.381944,49.772935,10.803472,1004.803125,-5.216319,0,2.766667
2013-03-28,24.006944,44.512153,7.705175,32.594925,537.666035,70.591941,7.90625,1015.059028,-12.497222,0,2.184028
2013-03-29,73.298611,111.505208,31.155944,65.129841,1372.075758,35.162136,5.952083,1015.905208,-6.933681,0,1.806597
2013-03-30,77.663194,105.864583,52.704861,55.003472,1606.034722,49.015555,6.232986,1016.428819,-3.820833,0,1.938889
2013-03-31,166.260417,183.635417,19.270833,63.888889,1351.729167,11.960069,5.369097,1012.779861,2.185764,0,1.541319
2013-04-01,99.618371,118.924242,24.537358,44.108831,1358.931029,53.551098,10.494444,1011.271528,-4.939236,0,2.901042
2013-04-02,93.256944,125.486111,33.201389,58.939236,1254.189236,64.832833,10.35625,1010.987847,-3.673264,0,1.757986
2013-04-03,121.892361,190.819444,38.6875,73.130208,1454.496528,62.901264,11.825694,1006.291667,-1.317708,0,2.017014
2013-04-04,63.614583,93.871528,44.579861,67.930556,1993.649306,32.007874,7.885417,1008.662847,-0.68125,0.329861,1.478819
2013-04-05,56.545139,48.815972,10.618056,37.100063,1164.934028,45.023775,8.595833,1012.683333,-1.460417,0.080903,2.700347
2013-04-06,12.260417,22.196181,6.222222,27.888678,453.815972,64.288554,8.654861,1010.404514,-8.917708,0,2.027083
2013-04-07,76.96875,113.295139,34.954861,61.480903,1231.996528,43.883602,8.858681,1001.972917,-2.040625,0.001389,1.862153
2013-04-08,27.326389,107.010417,5.527778,19.98911,379.6875,81.263538,8.986111,1006.562153,-12.103819,0,5.375694
2013-04-09,12.579861,28.680556,4.479167,15.596433,345.833333,87.220603,8.067361,1014.010764,-10.213194,0,4.009375
2013-04-10,13.333333,25.90625,4.994506,28.581378,435.053662,68.37842,7.836806,1013.491319,-10.030208,0,2.892014
2013-04-11,19.278409,43.508681,7.253894,49.704567,632.941919,53.952811,10.05,1012.252083,-10.527431,0,2.205208
2013-04-12,55.694444,105.864583,19.591642,72.060895,843.892361,39.121619,14.416667,1006.31875,-4.569097,0,1.697222
2013-04-13,59.770833,111.694444,18.528731,47.57376,737.631944,51.41963,17.119444,998.607292,-1.23125,0,3.107639
2013-04-14,39.965278,89.822917,12.256936,34.523427,530.722222,77.117628,12.203472,1004.0875,-6.332986,0,2.225
2013-04-15,78.842014,151.142361,43.907661,60.599194,1353.817708,61.423689,12.486458,997.311111,-0.045486,0,2.076042
2013-04-16,61.395833,129.329861,27.353381,41.355615,956.354167,74.601583,14.2625,1000.771528,-0.655208,0,2.3375
2013-04-17,49.890625,75.017361,17.732639,38.986101,691.319444,74.163299,11.992014,1005.575,-2.470486,0,2.281597
2013-04-18,9.822917,32.394097,3.818914,17.568468,280.084325,79.29754,10.830556,1016.702083,-13.576389,0,2.680556
2013-04-19,44.680556,73.913194,16.731564,39.157621,737.960813,53.36446,6.544444,1018.2125,-2.165972,0.007292,2.492014
2013-04-20,72.708333,77.989583,9.991319,43.631944,737.152778,57.685756,9.144444,1014.857986,-0.123264,0,1.820833
2013-04-21,119.288194,141.385417,27.557214,58.968155,1046.309028,55.14425,12.010069,1011.952431,2.272917,0,1.976389
2013-04-22,158.802083,172.722222,43.919083,60.281597,1205.267361,37.471591,12.382986,1007.957986,5.437153,0,1.664583
2013-04-23,181.355903,179.876736,23.513861,63.512523,1294.690972,23.149763,11.802431,1005.273611,7.420833,0.009375,1.432639
2013-04-24,83.36774,100.088068,8.915217,44.133374,945.750631,44.820497,15.361806,1004.669097,1.025694,0,2.533681
2013-04-25,13.256944,36.246528,4.596972,32.832572,409.888889,64.43562,15.795833,1006.928125,-6.244444,0,2.611111
2013-04-26,61.614583,118.322917,26.590278,62.326389,880.513889,63.317708,16.683333,1003.975347,-0.560069,0,1.602778
2013-04-27,62.055556,114.895833,38.548381,52.316323,1003.269097,92.929498,18.046875,1004.734722,1.526042,0,1.703125
2013-04-28,75.302083,116.208333,51.184661,54.841188,1678.041667,84.617131,16.336111,1004.236111,2.764236,0,1.611111
2013-04-29,17.795139,68.3125,4.762378,29.499887,376.215686,78.391748,21.290972,1005.800347,-6.21875,0,2.840625
