datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2010-01-01 00:00:00,Chengdu,4,,0,4,81.2,1022,7,cv,1,0,0
2010-01-01 01:00:00,Chengdu,4,,0,4,86.99,1022,6,cv,1,0,0
2010-01-01 02:00:00,Chengdu,4,,0,4,86.99,1021,6,cv,1,0,0
2010-01-01 03:00:00,Chengdu,4,,0,3,86.89,1021,5,cv,1,0,0
2010-01-01 04:00:00,Chengdu,4,,0,2,86.79,1021,4,cv,1,0,0
2010-01-01 05:00:00,Chengdu,4,,0,2,93.13,1020,3,cv,1,0,0
2010-01-01 06:00:00,Chengdu,4,,0,2,93.13,1020,3,cv,1,0,0
2010-01-01 07:00:00,Chengdu,4,,0,2,86.79,1020,4,cv,1,0,0
2010-01-01 08:00:00,Chengdu,4,,0,2,93.13,1021,3,cv,1,0,0
2010-01-01 09:00:00,Chengdu,4,,0,3,93.19,1021,4,cv,1,0,0
2010-01-01 10:00:00,Chengdu,4,,0,4,86.99,1021,6,SW,1,0,0
2010-01-01 11:00:00,Chengdu,4,,0,5,81.34,1021,8,cv,1,0,0
2010-01-01 12:00:00,Chengdu,4,,0,4,70.88,1020,9,cv,2,0,0
2010-01-01 13:00:00,Chengdu,4,,0,2,57.51,1019,10,cv,3,0,0
2010-01-01 14:00:00,Chengdu,4,,0,3,57.77,1016.9,11,SE,2,0,0
2010-01-01 15:00:00,Chengdu,4,,0,2,53.81,1016.9,11,cv,1,0,0
2010-01-01 16:00:00,Chengdu,4,,0,1,50.08,1016.9,11,cv,2,0,0
2010-01-01 17:00:00,Chengdu,4,,0,1,50.08,1016.9,11,cv,2,0,0
2010-01-01 18:00:00,Chengdu,4,,0,2,61.51,1018,9,cv,2,0,0
2010-01-01 19:00:00,Chengdu,4,,0,3,66.05,1019,9,SE,3,0,0
2010-01-01 20:00:00,Chengdu,4,,0,3,66.05,1020,9,cv,1,0,0
2010-01-01 21:00:00,Chengdu,4,,0,2,61.51,1021,9,cv,1,0,0
2010-01-01 22:00:00,Chengdu,4,,0,2,61.51,1021,9,cv,2,0,0
2010-01-01 23:00:00,Chengdu,4,,0,2.333333,64.563333,1021,8.666667,cv,1.333333,0,0
2010-01-02 00:00:00,Chengdu,4,,0,2.666667,67.616667,1021,8.333333,cv,0.666667,0,0
2010-01-02 01:00:00,Chengdu,4,,0,3,70.67,1021,8,cv,0,0,0
2010-01-02 02:00:00,Chengdu,4,,0,3,75.67,1021,7,cv,0,0,0
2010-01-02 03:00:00,Chengdu,4,,0,4,81.2,1021,7,cv,0,0,0
2010-01-02 04:00:00,Chengdu,4,,0,4,81.2,1021,7,SW,1,0,0
2010-01-02 05:00:00,Chengdu,4,,0,4,81.2,1021,7,SW,2,0,0
2010-01-02 06:00:00,Chengdu,4,,0,4,81.2,1020,7,SW,3,0,0
2010-01-02 07:00:00,Chengdu,4,,0,4,81.2,1021,7,SE,1,0,0
2010-01-02 08:00:00,Chengdu,4,,0,4,81.2,1021,7,SW,1,0,0
2010-01-02 09:00:00,Chengdu,4,,0,4,75.84,1022,8,cv,1,0,0
2010-01-02 10:00:00,Chengdu,4,,0,4,75.84,1022,8,cv,2,0,0
2010-01-02 11:00:00,Chengdu,4,,0,5,81.34,1023,8,cv,3,0,0
