datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2013-03-01 00:00:00,Beijing,1,7,1,-21,18,1028,0,NW,148.85,0,0
2013-03-01 01:00:00,Beijing,1,5,1,-21,20,1028,-1,NW,164.94,0,0
2013-03-01 02:00:00,Beijing,1,6,1,-23,16,1028,-1,NW,180.14,0,0
2013-03-01 03:00:00,Beijing,1,4,1,-26,13,1029,-2,NW,195.34,0,0
2013-03-01 04:00:00,Beijing,1,8,1,-25,15,1030,-2,NW,208.3,0,0
2013-03-01 05:00:00,Beijing,1,9,1,-24,16,1031,-2,NW,217.24,0,0
2013-03-01 06:00:00,Beijing,1,5,3,-23,19,1032,-3,NW,224.39,0,0
2013-03-01 07:00:00,Beijing,1,6,3,-23,19,1032,-3,NW,232.44,0,0
2013-03-01 08:00:00,Beijing,1,8,3,-22,19,1033,-2,NE,4.02,0,0
2013-03-01 09:00:00,Beijing,1,5.666667,3,-26,12,1035,0,NW,4.02,0,0
2013-03-01 10:00:00,Beijing,1,7,3,-25,13,1035,0,NW,7.15,0,0
2013-03-01 11:00:00,Beijing,1,5.666667,3,-25,11,1034,2,NW,12.07,0,0
2013-03-01 12:00:00,Beijing,1,5.666667,3,-24,11,1034,3,NE,4.02,0,0
2013-03-01 13:00:00,Beijing,1,6,3,-25,9,1033,4,cv,4.02,0,0
2013-03-01 14:00:00,Beijing,1,5,3,-25,9,1032,4,NE,4.02,0,0
2013-03-01 15:00:00,Beijing,1,6.666667,3,-24,10,1032,5,NE,8.04,0,0
2013-03-01 16:00:00,Beijing,1,9.333333,3,-25,8,1032,6,NW,3.13,0,0
2013-03-01 17:00:00,Beijing,1,10.666667,3,-24,10,1032,5,NW,8.05,0,0
2013-03-01 18:00:00,Beijing,1,12.333333,3,-21,16,1033,2,NW,12.97,0,0
2013-03-01 19:00:00,Beijing,1,8.666667,3,-21,16,1034,2,NE,1.79,0,0
2013-03-01 20:00:00,Beijing,1,14.666667,3,-24,13,1034,1,NE,6.71,0,0
2013-03-01 21:00:00,Beijing,1,21,3,-22,17,1035,0,NE,9.84,0,0
2013-03-01 22:00:00,Beijing,1,8.666667,3,-19,22,1036,0,NE,11.63,0,0
2013-03-01 23:00:00,Beijing,1,6.666667,3,-19,22,1036,0,NE,14.76,0,0
2013-03-02 00:00:00,Beijing,1,5.666667,3,-18,24,1036,0,NE,17.89,0,0
2013-03-02 01:00:00,Beijing,1,4.666667,3,-18,26,1036,-1,SE,1.79,0,0
2013-03-02 02:00:00,Beijing,1,5.333333,3,-18,28,1037,-2,NE,0.89,0,0
2013-03-02 03:00:00,Beijing,1,6,3,-17,30,1037,-2,cv,0.45,0,0
2013-03-02 04:00:00,Beijing,1,7.333333,3,-15,45,1036,-5,NW,1.79,0,0
2013-03-02 05:00:00,Beijing,1,6,3,-16,35,1036,-3,NW,4.92,0,0
2013-03-02 06:00:00,Beijing,1,8.333333,3,-15,45,1035,-5,NW,8.05,0,0
2013-03-02 07:00:00,Beijing,1,8,3,-15,42,1035,-4,NW,9.84,0,0
2013-03-02 08:00:00,Beijing,1,8,3,-16,33,1035,-2,NW,12.97,0,0
2013-03-02 09:00:00,Beijing,1,7.666667,3,-16,30,1035,-1,NW,16.99,0,0
2013-03-02 10:00:00,Beijing,1,13.666667,3,-17,26,1035,0,NW,20.12,0,0
2013-03-02 11:00:00,Beijing,1,22.666667,3,-19,19,1035,2,cv,0.89,0,0
2013-03-02 12:00:00,Beijing,1,30.666667,3,-19,19,1034,2,cv,2.68,0,0
2013-03-02 13:00:00,Beijing,1,34.666667,3,-19,18,1033,3,SE,1.79,0,0
2013-03-02 14:00:00,Beijing,1,33.666667,3,-18,19,1032,3,SE,3.58,0,0
2013-03-02 15:00:00,Beijing,1,46.666667,3,-19,16,1030,4,SE,5.37,0,0
2013-03-02 16:00:00,Beijing,1,55.666667,3,-19,16,1030,4,SE,7.16,0,0
2013-03-02 17:00:00,Beijing,1,62,3,-19,16,1029,4,SE,8.95,0,0
2013-03-02 18:00:00,Beijing,1,64.333333,3,-17,24,1029,1,NW,1.79,0,0
2013-03-02 19:00:00,Beijing,1,72.333333,3,-17,24,1029,1,NE,1.79,0,0
