datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2010-01-01 00:00:00,Guangzhou,4,,0,9.4,76,1015.1,13.5,NW,0.8,0,0
2010-01-01 01:00:00,Guangzhou,4,,0,10.2,83,1015.2,13,cv,0.5,0,0
2010-01-01 02:00:00,Guangzhou,4,,0,10.4,87,1015,12.5,NW,0.6,0.3,0.3
2010-01-01 03:00:00,Guangzhou,4,,0,10.2,89,1014.9,12,NW,1.4,0.6,0.9
2010-01-01 04:00:00,Guangzhou,4,,0,10.4,91,1014.6,11.8,NE,0.6,0.7,1.6
2010-01-01 05:00:00,Guangzhou,4,,0,10.3,91,1014.4,11.7,NW,1.4,0.3,1.9
2010-01-01 06:00:00,Guangzhou,4,,0,10,90,1014.8,11.6,NW,2.5,0,0
2010-01-01 07:00:00,Guangzhou,4,,0,10.4,91,1015.3,11.8,NW,3.7,0,0
2010-01-01 08:00:00,Guangzhou,4,,0,10.3,89,1015.3,12.1,NE,1.2,0,0
2010-01-01 09:00:00,Guangzhou,4,,0,10.5,86,1015.9,12.8,NW,1.2,0,0
2010-01-01 10:00:00,Guangzhou,4,,0,10.9,83,1016,13.7,NE,0.9,0,0
2010-01-01 11:00:00,Guangzhou,4,,0,10.8,82,1016,13.8,SE,0.6,0,0
2010-01-01 12:00:00,Guangzhou,4,,0,10.7,78,1015.3,14.5,NE,0.9,0,0
2010-01-01 13:00:00,Guangzhou,4,,0,10.9,75,1013.8,15.3,NE,2,0,0
2010-01-01 14:00:00,Guangzhou,4,,0,10.8,74,1012.3,15.4,NE,3.3,0,0
2010-01-01 15:00:00,Guangzhou,4,,0,10.8,71,1011.6,16.1,NE,4.6,0,0
2010-01-01 16:00:00,Guangzhou,4,,0,11,73,1011.8,15.8,NE,5.3,0,0
2010-01-01 17:00:00,Guangzhou,4,,0,11.5,77,1012.2,15.5,NW,0.8,0,0
2010-01-01 18:00:00,Guangzhou,4,,0,11.8,81,1012.2,15,cv,0,0,0
2010-01-01 19:00:00,Guangzhou,4,,0,12.1,84,1012.4,14.8,NE,0.7,0,0
2010-01-01 20:00:00,Guangzhou,4,,0,12,83,1012.9,14.9,NE,1.6,0,0
2010-01-01 21:00:00,Guangzhou,4,,0,12,83,1013.4,14.9,NW,0.7,0,0
2010-01-01 22:00:00,Guangzhou,4,,0,12.2,84,1013.7,14.9,NW,1.7,0,0
2010-01-01 23:00:00,Guangzhou,4,,0,12.2,84,1013.2,14.9,cv,0,0,0
2010-01-02 00:00:00,Guangzhou,4,,0,12.2,84,1013.3,14.9,cv,0.5,0,0
2010-01-02 01:00:00,Guangzhou,4,,0,12.5,88,1013,14.5,NW,0.7,0,0
2010-01-02 02:00:00,Guangzhou,4,,0,12.4,89,1012.6,14.2,NW,1.6,0.6,0.6
2010-01-02 03:00:00,Guangzhou,4,,0,12.6,92,1011.9,13.9,cv,0,0.5,1.1
2010-01-02 04:00:00,Guangzhou,4,,0,12.4,92,1011.9,13.7,NW,1.2,0.1,1.2
2010-01-02 05:00:00,Guangzhou,4,,0,12.5,92,1011.4,13.8,NW,2.4,0,0
2010-01-02 06:00:00,Guangzhou,4,,0,12.4,91,1011.3,13.8,cv,0.5,0,0
2010-01-02 07:00:00,Guangzhou,4,,0,12.6,92,1011.5,13.9,cv,1,0.7,0.7
2010-01-02 08:00:00,Guangzhou,4,,0,13,93,1011.9,14.1,cv,1.4,0.1,0.8
2010-01-02 09:00:00,Guangzhou,4,,0,13,92,1012.6,14.3,cv,1.8,0.3,1.1
2010-01-02 10:00:00,Guangzhou,4,,0,13.5,92,1013.3,14.8,NW,0.6,0,0
2010-01-02 11:00:00,Guangzhou,4,,0,13.3,92,1013.8,14.6,NW,2.1,0,0
2010-01-02 12:00:00,Guangzhou,4,,0,13.2,93,1012.8,14.3,NE,1.2,0.6,0.6
2010-01-02 13:00:00,Guangzhou,4,,0,13.3,93,1011.7,14.4,NW,0.9,0.4,1
2010-01-02 14:00:00,Guangzhou,4,,0,13.7,93,1011,14.8,SW,0.7,2.2,3.2
2010-01-02 15:00:00,Guangzhou,4,,0,13.9,93,1010.9,15,SW,1.7,2.5,5.7
2010-01-02 16:00:00,Guangzhou,4,,0,13.9,93,1010.5,15,NE,1,4.6,10.3
2010-01-02 17:00:00,Guangzhou,4,,0,13.9,93,1011.6,15,NW,0.8,1.4,11.7
2010-01-02 18:00:00,Guangzhou,4,,0,13.7,93,1011.8,14.8,NW,1.6,0.6,12.3
2010-01-02 19:00:00,Guangzhou,4,,0,13.7,93,1012.5,14.8,NW,2.2,2.4,14.7
2010-01-02 20:00:00,Guangzhou,4,,0,13.8,94,1012.8,14.8,SE,0.8,4.3,19
2010-01-02 21:00:00,Guangzhou,4,,0,14,94,1013.2,15,SE,1.5,1.3,20.3
2010-01-02 22:00:00,Guangzhou,4,,0,13.8,94,1013.5,14.8,cv,0.2,0.2,20.5
2010-01-02 23:00:00,Guangzhou,4,,0,13.8,94,1014,14.8,NW,1.2,0.1,20.6
2010-01-03 00:00:00,Guangzhou,4,,0,13.5,94,1014.2,14.5,NW,2.2,0,0
2010-01-03 01:00:00,Guangzhou,4,,0,13.4,94,1013.7,14.4,NE,1.1,0,0
2010-01-03 02:00:00,Guangzhou,4,,0,12.8,93,1013.3,13.9,NW,1.1,0,0
2010-01-03 03:00:00,Guangzhou,4,,0,13,93,1013.3,14.1,NW,2.1,0,0
2010-01-03 04:00:00,Guangzhou,4,,0,12.8,92,1013.1,14.1,cv,0,0,0
2010-01-03 05:00:00,Guangzhou,4,,0,12.7,92,1013,14,NW,0.9,0,0
2010-01-03 06:00:00,Guangzhou,4,,0,12.4,92,1013,13.7,cv,0.5,0,0
2010-01-03 07:00:00,Guangzhou,4,,0,11.8,93,1013.6,12.9,NW,0.7,0,0
2010-01-03 08:00:00,Guangzhou,4,,0,12.5,94,1014.3,13.4,NW,1.7,0,0
2010-01-03 09:00:00,Guangzhou,4,,0,13.3,83,1014.7,16.2,NE,0.8,0,0
2010-01-03 10:00:00,Guangzhou,4,,0,12.9,75,1015,17.4,NW,0.9,0,0
2010-01-03 11:00:00,Guangzhou,4,,0,12.4,71,1014.6,17.7,NW,1.8,0,0
2010-01-03 12:00:00,Guangzhou,4,,0,12.4,63,1013.5,19.6,SW,1.8,0,0
2010-01-03 13:00:00,Guangzhou,4,,0,11.9,62,1012.2,19.4,NW,0.7,0,0
2010-01-03 14:00:00,Guangzhou,4,,0,11.9,62,1011.4,19.4,SW,0.9,0,0
2010-01-03 15:00:00,Guangzhou,4,,0,11.3,58,1010.9,19.8,SE,1.4,0,0
2010-01-03 16:00:00,Guangzhou,4,,0,11.2,58,1010.8,19.7,SW,0.8,0,0
2010-01-03 17:00:00,Guangzhou,4,,0,12.7,65,1011,19.4,SW,1.4,0,0
2010-01-03 18:00:00,Guangzhou,4,,0,13.5,73,1011.3,18.4,cv,0.5,0,0
2010-01-03 19:00:00,Guangzhou,4,,0,13.1,74,1011.6,17.8,SE,1.3,0,0
2010-01-03 20:00:00,Guangzhou,4,,0,13.2,74,1011.9,17.9,SW,0.7,0,0
2010-01-03 21:00:00,Guangzhou,4,,0,13.4,76,1012.1,17.7,SE,0.9,0,0
2010-01-03 22:00:00,Guangzhou,4,,0,13.7,80,1012.2,17.2,SE,1.7,0,0
2010-01-03 23:00:00,Guangzhou,4,,0,13.8,81,1011.9,17.1,SE,3.1,0,0
2010-01-04 00:00:00,Guangzhou,4,,0,13.8,82,1011.8,16.9,SE,3.8,0,0
2010-01-04 01:00:00,Guangzhou,4,,0,14,85,1011.6,16.5,NE,0.7,0,0
2010-01-04 02:00:00,Guangzhou,4,,0,14,85,1011.1,16.5,NE,1.3,0,0
2010-01-04 03:00:00,Guangzhou,4,,0,14.2,88,1010.7,16.2,cv,0.1,0,0
2010-01-04 04:00:00,Guangzhou,4,,0,13.8,90,1010.1,15.4,SW,0.6,0,0
2010-01-04 05:00:00,Guangzhou,4,,0,13.3,92,1010.3,14.6,NE,0.6,0,0
2010-01-04 06:00:00,Guangzhou,4,,0,13,93,1010.8,14.1,cv,0,0,0
2010-01-04 07:00:00,Guangzhou,4,,0,13.5,94,1011.1,14.5,NE,0.7,0,0
2010-01-04 08:00:00,Guangzhou,4,,0,13.7,94,1012.4,14.7,NW,1.4,0,0
2010-01-04 09:00:00,Guangzhou,4,,0,14.2,88,1012.5,16.2,NE,1,0,0
2010-01-04 10:00:00,Guangzhou,4,,0,14,77,1012.7,18.1,SE,1,0,0
2010-01-04 11:00:00,Guangzhou,4,,0,13,65,1011.9,19.8,SW,1.2,0,0
2010-01-04 12:00:00,Guangzhou,4,,0,13.1,59,1010.9,21.4,NE,1.2,0,0
2010-01-04 13:00:00,Guangzhou,4,,0,12.2,54,1009.5,21.9,SE,1.3,0,0
2010-01-04 14:00:00,Guangzhou,4,,0,12.6,54,1008.4,22.3,SE,3.1,0,0
2010-01-04 15:00:00,Guangzhou,4,,0,12.7,55,1007.9,22.2,SE,4.3,0,0
2010-01-04 16:00:00,Guangzhou,4,,0,13,59,1007.8,21.3,SE,6.2,0,0
2010-01-04 17:00:00,Guangzhou,4,,0,13.7,64,1008.2,20.8,SE,7.1,0,0
2010-01-04 18:00:00,Guangzhou,4,,0,14,69,1008.4,19.9,SE,8.1,0,0
2010-01-04 19:00:00,Guangzhou,4,,0,14.4,72,1009.1,19.6,SE,9.6,0,0
2010-01-04 20:00:00,Guangzhou,4,,0,14.5,74,1009.5,19.2,SE,10.6,0,0
2010-01-04 21:00:00,Guangzhou,4,,0,14.2,73,1009.6,19.1,SE,11.6,0,0
2010-01-04 22:00:00,Guangzhou,4,,0,13.7,72,1010,18.9,SW,1,0,0
2010-01-04 23:00:00,Guangzhou,4,,0,14.9,84,1010.1,17.6,cv,0.5,0,0
2010-01-05 00:00:00,Guangzhou,4,,0,14.7,81,1009.9,18,SE,0.7,0,0
2010-01-05 01:00:00,Guangzhou,4,,0,15.3,86,1010.2,17.7,SW,0.8,0,0
2010-01-05 02:00:00,Guangzhou,4,,0,15.1,85,1009.9,17.6,cv,0.5,0,0
2010-01-05 03:00:00,Guangzhou,4,,0,15,85,1010.1,17.5,NE,0.8,0.1,0.1
2010-01-05 04:00:00,Guangzhou,4,,0,14.9,87,1009.6,17.1,NE,1.5,0,0
2010-01-05 05:00:00,Guangzhou,4,,0,14.3,84,1010.2,17,NE,2.1,0,0
2010-01-05 06:00:00,Guangzhou,4,,0,13.4,80,1010.1,16.9,NE,2.8,0,0
2010-01-05 07:00:00,Guangzhou,4,,0,13.3,80,1010.9,16.8,NW,0.8,0,0
2010-01-05 08:00:00,Guangzhou,4,,0,13.4,83,1011.7,16.3,NE,0.8,0.3,0.3
2010-01-05 09:00:00,Guangzhou,4,,0,13.9,85,1012.2,16.4,SE,2,0.1,0.4
2010-01-05 10:00:00,Guangzhou,4,,0,13.5,82,1012.7,16.6,SE,4.4,0,0
2010-01-05 11:00:00,Guangzhou,4,,0,13.6,79,1012.6,17.3,NE,1.9,0,0
2010-01-05 12:00:00,Guangzhou,4,,0,13.7,76,1011.5,18,SE,2.2,0,0
2010-01-05 13:00:00,Guangzhou,4,,0,13.5,76,1010.8,17.8,SE,3.1,0,0
2010-01-05 14:00:00,Guangzhou,4,,0,13.4,73,1009.9,18.3,NE,2.2,0,0
2010-01-05 15:00:00,Guangzhou,4,,0,12.3,69,1009.4,18.1,SE,3,0,0
2010-01-05 16:00:00,Guangzhou,4,,0,11.3,64,1009.2,18.2,SE,5.8,0,0
2010-01-05 17:00:00,Guangzhou,4,,0,11.2,64,1009.5,18.1,SE,8.6,0,0
