datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2010-01-01 00:00:00,Shanghai,4,,0,-6,59.48,1026.1,1,cv,1,0,0
2010-01-01 01:00:00,Shanghai,4,,0,-6,59.48,1025.1,1,SE,2,0,0
2010-01-01 02:00:00,Shanghai,4,,0,-7,59.21,1025.1,0,SE,4,0,0
2010-01-01 03:00:00,Shanghai,4,,0,-6,63.94,1024,0,SE,5,0,0
2010-01-01 04:00:00,Shanghai,4,,0,-6,63.94,1023,0,SE,8,0,0
2010-01-01 05:00:00,Shanghai,4,,0,-7,59.21,1023,0,SE,11,0,0
2010-01-01 06:00:00,Shanghai,4,,0,-6,59.48,1023,1,SE,14,0,0
2010-01-01 07:00:00,Shanghai,4,,0,-5,64.18,1023,1,SE,17,0,0
2010-01-01 08:00:00,Shanghai,4,,0,-3,69.43,1023,2,SE,20,0,0
2010-01-01 09:00:00,Shanghai,4,,0,-2,64.9,1023,4,SE,23,0,0
2010-01-01 10:00:00,Shanghai,4,,0,-1,60.76,1022,6,SE,28,0,0
2010-01-01 11:00:00,Shanghai,4,,0,0,61.01,1022,7,SW,6,0,0
2010-01-01 12:00:00,Shanghai,4,,0,-1,52.98,1020,8,SW,10,0,0
2010-01-01 13:00:00,Shanghai,4,,0,0,53.26,1019,9,SW,14,0,0
2010-01-01 14:00:00,Shanghai,4,,0,-1,46.29,1019,10,SW,18,0,0
2010-01-01 15:00:00,Shanghai,4,,0,-1,46.29,1018,10,SE,3,0,0
2010-01-01 16:00:00,Shanghai,4,,0,-2,46,1018,9,SE,7,0,0
2010-01-01 17:00:00,Shanghai,4,,0,-1,49.51,1018,9,SE,11,0,0
2010-01-01 18:00:00,Shanghai,4,,0,0,56.99,1019,8,SE,14,0,0
2010-01-01 19:00:00,Shanghai,4,,0,1,61.26,1018,8,SE,16,0,0
2010-01-01 20:00:00,Shanghai,4,,0,2,65.82,1019,8,SE,20,0,0
2010-01-01 21:00:00,Shanghai,4,,0,2,65.82,1018,8,SE,25,0,0
2010-01-01 22:00:00,Shanghai,4,,0,3,70.67,1018,8,SW,5,0,0
2010-01-01 23:00:00,Shanghai,4,,0,3,72.336667,1018,7.666667,SW,4.333333,0,0
2010-01-02 00:00:00,Shanghai,4,,0,3,74.003333,1018,7.333333,SW,3.666667,0,0
2010-01-02 01:00:00,Shanghai,4,,0,3,75.67,1018,7,SW,3,0,0
2010-01-02 02:00:00,Shanghai,4,,0,3,75.67,1016.9,7,SW,7,0,0
2010-01-02 03:00:00,Shanghai,4,,0,3,75.67,1018,7,cv,1,0,0
2010-01-02 04:00:00,Shanghai,4,,0,3,75.67,1016.9,7,SW,3,0,0
2010-01-02 05:00:00,Shanghai,4,,0,3,81.06,1016.9,6,cv,0,0,0
2010-01-02 06:00:00,Shanghai,4,,0,3,81.06,1018,6,NW,1,0,0
2010-01-02 07:00:00,Shanghai,4,,0,2,80.92,1018,5,SW,1,0,0
2010-01-02 08:00:00,Shanghai,4,,0,3,81.06,1019,6,cv,0,0,0
2010-01-02 09:00:00,Shanghai,4,,0,4,75.84,1019,8,cv,0,0,0
2010-01-02 10:00:00,Shanghai,4,,0,3,61.76,1019,10,NW,3,0,0
2010-01-02 11:00:00,Shanghai,4,,0,3,57.77,1019,11,NW,8,0,0
2010-01-02 12:00:00,Shanghai,4,,0,2,53.81,1018,11,NW,13,0,0
