datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2010-01-01 00:00:00,Shenyang,4,,0,-26,69.79,1024,-22,NE,1.0289,,
2010-01-01 01:00:00,Shenyang,4,,0,-26,76.26,1024,-23,NE,2.5722,,
2010-01-01 02:00:00,Shenyang,4,,0,-27,69.56,1023,-23,NE,5.1444,,
2010-01-01 03:00:00,Shenyang,4,,0,-27,69.56,1023,-23,NE,7.7166,,
2010-01-01 04:00:00,Shenyang,4,,0,-27,69.56,1022,-23,NE,9.7744,,
2010-01-01 05:00:00,Shenyang,4,,0,-26,76.26,1022,-23,NE,11.8322,,
2010-01-01 06:00:00,Shenyang,4,,0,-25,76.46,1021,-22,NE,14.4044,,
2010-01-01 07:00:00,Shenyang,4,,0,-24,70.26,1021,-20,NE,16.9766,,
2010-01-01 08:00:00,Shenyang,4,,0,-23,70.49,1021,-19,NE,19.0344,,
2010-01-01 09:00:00,Shenyang,4,,0,-22,70.71,1021,-18,NE,21.6066,,
2010-01-01 10:00:00,Shenyang,4,,0,-20,77.39,1022,-17,NE,24.1788,,
2010-01-01 11:00:00,Shenyang,4,,0,-18,77.75,1021,-15,NE,27.2655,,
2010-01-01 12:00:00,Shenyang,4,,0,-17,77.92,1020,-14,NE,29.8377,,
2010-01-01 13:00:00,Shenyang,4,,0,-16,78.1,1019,-13,NE,32.9244,,
2010-01-01 14:00:00,Shenyang,4,,0,-15,84.87,1019,-13,NE,35.4966,,
2010-01-01 15:00:00,Shenyang,4,,0,-15,78.27,1019,-12,NE,38.5833,,
2010-01-01 16:00:00,Shenyang,4,,0,-15,78.27,1019,-12,NE,41.1555,,
2010-01-01 17:00:00,Shenyang,4,,0,-15,78.27,1020,-12,NE,43.2133,,
2010-01-01 18:00:00,Shenyang,4,,0,-16,78.1,1020,-13,NE,45.7855,,
2010-01-01 19:00:00,Shenyang,4,,0,-17,77.92,1021,-14,NE,48.3577,,
2010-01-01 20:00:00,Shenyang,4,,0,-17,84.62,1021,-15,NE,50.4155,,
2010-01-01 21:00:00,Shenyang,4,,0,-19,77.57,1022,-16,NE,51.9588,,
2010-01-01 22:00:00,Shenyang,4,,0,-20,77.39,1022,-17,NE,53.5021,,
2010-01-01 23:00:00,Shenyang,4,,0,-21,75.09,1022.333333,-17.666667,NE,36.1825,,
2010-01-02 00:00:00,Shenyang,4,,0,-22,72.79,1022.666667,-18.333333,NE,18.8629,,
2010-01-02 01:00:00,Shenyang,4,,0,-23,70.49,1023,-19,NE,1.5433,,
2010-01-02 02:00:00,Shenyang,4,,0,-24,70.26,1023,-20,NE,2.5722,,
2010-01-02 03:00:00,Shenyang,4,,0,-24,76.65,1023,-21,NE,3.6011,,
2010-01-02 04:00:00,Shenyang,4,,0,-24,76.65,1024,-21,NE,4.63,,
2010-01-02 05:00:00,Shenyang,4,,0,-24,70.26,1024,-20,NE,6.1733,,
2010-01-02 06:00:00,Shenyang,4,,0,-27,69.56,1024,-23,NE,8.2311,,
2010-01-02 07:00:00,Shenyang,4,,0,-27,69.56,1025,-23,NE,8.7455,,
2010-01-02 08:00:00,Shenyang,4,,0,-27,76.07,1026,-24,NE,9.7744,,
2010-01-02 09:00:00,Shenyang,4,,0,-25,70.03,1026,-21,cv,0.5144,,
2010-01-02 10:00:00,Shenyang,4,,0,-25,58.89,1026,-19,SE,0.5144,,
2010-01-02 11:00:00,Shenyang,4,,0,-24,54.37,1026,-17,NW,1.5433,,
2010-01-02 12:00:00,Shenyang,4,,0,-24,50,1026,-16,NW,3.6011,,
2010-01-02 13:00:00,Shenyang,4,,0,-24,50,1026,-16,NE,2.5722,,
2010-01-02 14:00:00,Shenyang,4,,0,-24,50,1026,-16,NW,2.0578,,
2010-01-02 15:00:00,Shenyang,4,,0,-24,50,1026,-16,NE,2.0578,,
2010-01-02 16:00:00,Shenyang,4,,0,-24,54.37,1027,-17,NW,1.5433,,
