datetime,city,season,pm25_city,pm_site_count,DEWP,HUMI,PRES,TEMP,wind_dir,wind_speed,precipitation,cum_precipitation
2013-03-01 00:00:00,Shenyang,1,,0,-13,62.18,1019,-7,NW,26,0,0
2013-03-01 01:00:00,Shenyang,1,,0,-14,66.95,1019,-9,SW,3,0,0
2013-03-01 02:00:00,Shenyang,1,,0,-15,61.65,1020,-9,SW,6,0,0
2013-03-01 03:00:00,Shenyang,1,,0,-14,61.92,1020,-8,SW,8,0,0
2013-03-01 04:00:00,Shenyang,1,,0,-14,57.3,1020,-7,NW,3,0,0
2013-03-01 05:00:00,Shenyang,1,,0,-14,57.3,1020,-7,NW,7,0,0
2013-03-01 06:00:00,Shenyang,1,10.5,2,-15,66.71,1021,-10,SW,2,0,0
2013-03-01 07:00:00,Shenyang,1,13,2,-13,67.19,1022,-8,NW,3,0,0
2013-03-01 08:00:00,Shenyang,1,15.5,2,-13,62.18,1022,-7,NW,6,0,0
2013-03-01 09:00:00,Shenyang,1,15.5,2,-13,57.58,1023,-6,NW,12,0,0
2013-03-01 10:00:00,Shenyang,1,12.5,2,-12,57.86,1024,-5,NW,18,0,0
2013-03-01 11:00:00,Shenyang,1,12.5,2,-12,53.65,1025,-4,NW,22,0,0
2013-03-01 12:00:00,Shenyang,1,15,2,-11,53.94,1025,-3,NW,27,0,0
2013-03-01 13:00:00,Shenyang,1,13.5,2,-11,53.94,1025,-3,NW,33,0,0
2013-03-01 14:00:00,Shenyang,1,11.5,2,-10,58.41,1026,-3,NW,39,0,0
2013-03-01 15:00:00,Shenyang,1,11.5,2,-10,54.23,1026,-2,NW,45,0,0
2013-03-01 16:00:00,Shenyang,1,17,2,-10,54.23,1026,-2,NW,52,0,0
2013-03-01 17:00:00,Shenyang,1,23.5,2,-9,63.2,1027,-3,NW,58,0,0
2013-03-01 18:00:00,Shenyang,1,35.5,2,-10,58.41,1028,-3,NW,63,0,0
2013-03-01 19:00:00,Shenyang,1,35,2,-11,53.94,1029,-3,NW,66,0,0
2013-03-01 20:00:00,Shenyang,1,26.5,2,-12,53.65,1030,-4,NE,3,0,0
2013-03-01 21:00:00,Shenyang,1,29.5,2,-12,57.86,1031,-5,NW,2,0,0
2013-03-01 22:00:00,Shenyang,1,36,2,-13,53.36,1032,-5,NW,4,0,0
2013-03-01 23:00:00,Shenyang,1,27.5,2,-14,49.17,1033,-5,NW,8,0,0
2013-03-02 00:00:00,Shenyang,1,19,2,-14,57.3,1033,-7,NW,12,0,0
2013-03-02 01:00:00,Shenyang,1,17,2,-15,57.02,1033,-8,NW,14,0,0
2013-03-02 02:00:00,Shenyang,1,15,2,-16,56.74,1034,-9,NW,16,0,0
2013-03-02 03:00:00,Shenyang,1,13,2,-17,52.17,1034,-9,NW,18,0,0
