model,horizon_hours,aqi_bucket,n_samples,rmse,mae,mape
ARIMA,1,0-35,2515,4.807562362618401,2.679333221244168,18.06601621006499
ARIMA,1,35-75,1816,7.679676469908513,4.459224611700865,8.452268261219468
ARIMA,1,75-115,1194,8.394247281424045,5.339420795861138,5.7592266143646365
ARIMA,1,115-150,534,14.615616955699343,7.98260237415034,6.152206421463203
ARIMA,1,>150,930,14.818949294078152,9.561997081114775,4.718058789035222
ARIMA,12,0-35,2504,19.481410081133806,18.874065170860096,157.10936328237864
ARIMA,12,35-75,1816,8.93785468757911,7.181875679946572,15.16566527658531
ARIMA,12,75-115,1194,11.182074406036039,8.703689005772326,9.029178183611538
ARIMA,12,115-150,534,22.98083080357702,21.320550021002084,16.231144857821004
ARIMA,12,>150,930,52.04060395845197,48.99309768574747,22.976394273555233
LSTM,1,0-35,2468,4.365994561176689,2.6820014930307945,18.12330278533913
LSTM,1,35-75,1781,7.183790142097239,4.689554573834925,8.972404343585604
LSTM,1,75-115,1194,7.737828920005785,5.2391473760469,5.6472648455689205
LSTM,1,115-150,534,14.00986916808111,7.919796827715356,6.113077131548872
LSTM,1,>150,930,15.881387050637727,10.391882477419356,5.024290280316796
LSTM,12,0-35,2440,36.32811061588157,23.908638797704914,196.9915982622863
LSTM,12,35-75,1774,28.800224995227296,23.908583849492675,46.02602728884266
LSTM,12,75-115,1194,33.894117473714594,25.748362595477385,27.899659650440583
LSTM,12,115-150,534,53.98662208587362,47.93638660018727,36.582021904158765
LSTM,12,>150,930,121.2868972281531,114.25545967741935,53.07089552817828
Transformer,1,0-35,2468,4.336391608868419,2.86859379315235,19.160511623212205
Transformer,1,35-75,1781,6.96278753445437,4.548505828747895,8.627910538911696
Transformer,1,75-115,1194,8.010650984771306,5.585660051926299,6.019220486520034
Transformer,1,115-150,534,13.458798457469545,7.929287149812733,6.119091975312002
Transformer,1,>150,930,16.01087611457169,10.433748606451614,5.053953928988325
Transformer,12,0-35,2440,48.03545641326882,29.207335518852457,244.77180801272965
Transformer,12,35-75,1774,37.60440170481597,25.70077219532131,49.85005660018707
Transformer,12,75-115,1194,38.96768251459617,30.930922655778897,32.90085571012788
Transformer,12,115-150,534,52.28442343810164,46.0562737247191,35.432961822369855
Transformer,12,>150,930,68.6459858853341,52.99622165591397,24.790430681927404
XGBoost,1,0-35,2489,4.121420082825081,2.422113382683809,16.489921028529224
XGBoost,1,35-75,1808,6.9974321326861615,4.36133803539823,8.273751042363969
XGBoost,1,75-115,1194,8.154445935480155,5.296487870184254,5.707374391033468
XGBoost,1,115-150,534,13.057511239123038,7.599008494382021,5.856513940853076
XGBoost,1,>150,930,15.339824521839382,9.860451306451614,4.8431880188772505
XGBoost,12,0-35,2487,46.202033268624945,31.02250472463209,260.8371970010338
XGBoost,12,35-75,1808,31.17783469965359,22.25218405724834,43.79702715777637
XGBoost,12,75-115,1194,25.804232417731004,20.45094313316583,21.887048901801045
XGBoost,12,115-150,534,41.4664891715137,35.081289235955055,26.827943063275278
XGBoost,12,>150,930,77.524175992144,65.92209799569892,30.510263837590863
