model,task,horizon_hours,feature_group,n_features,rmse,mae,mape,n_samples,notes
XGBoost,h1,1,base_short_lag,9,17.29540133947625,9.30597400916428,22.520410302427784,5299,best_params_based
XGBoost,h1,1,base_plus_daily_cycle,12,16.622935047899244,8.841689868022682,20.565621052242832,5299,best_params_based
XGBoost,h1,1,mid_range_memory,16,16.50790396418609,8.869266696261986,21.065242680327053,5299,best_params_based
XGBoost,h1,1,trend_and_roll,25,11.009919653366927,5.095186545867776,11.736371783543756,5299,best_params_based
XGBoost,h1,1,weather_enhanced,35,11.021197014581816,5.0608291632014275,11.476848696124991,5299,best_params_based
XGBoost,h1,1,full_48,48,11.290940991828581,5.121729163471782,11.401545711582608,5299,best_params_based
XGBoost,seq6,1,base_short_lag,9,17.29540133947625,9.30597400916428,22.520410302427784,5299,best_params_based
XGBoost,seq6,1,base_plus_daily_cycle,12,16.622935047899244,8.841689868022682,20.565621052242832,5299,best_params_based
XGBoost,seq6,1,mid_range_memory,16,16.50790396418609,8.869266696261986,21.065242680327053,5299,best_params_based
XGBoost,seq6,1,trend_and_roll,25,11.009919653366927,5.095186545867776,11.736371783543756,5299,best_params_based
XGBoost,seq6,1,weather_enhanced,35,11.021197014581816,5.0608291632014275,11.476848696124991,5299,best_params_based
XGBoost,seq6,1,full_48,48,11.290940991828581,5.121729163471782,11.401545711582608,5299,best_params_based
XGBoost,seq6,2,base_short_lag,9,23.091845849475128,13.406503739229931,33.747606697164514,5299,best_params_based
XGBoost,seq6,2,base_plus_daily_cycle,12,21.941095209948585,12.450489813756086,30.545396062495556,5299,best_params_based
XGBoost,seq6,2,mid_range_memory,16,21.92240589323836,12.583259153915604,31.229631068101284,5299,best_params_based
XGBoost,seq6,2,trend_and_roll,25,17.5494234515747,9.174881670066336,21.26870693850405,5299,best_params_based
XGBoost,seq6,2,weather_enhanced,35,17.67255802097297,9.124426967069805,20.63247734821753,5299,best_params_based
XGBoost,seq6,2,full_48,48,17.721786339267776,9.08172318363158,20.46719617852052,5299,best_params_based
XGBoost,seq6,3,base_short_lag,9,28.181844393701617,17.081870274934293,45.214785039476276,5299,best_params_based
XGBoost,seq6,3,base_plus_daily_cycle,12,26.583314338063623,15.837413173625153,41.4649661933244,5299,best_params_based
XGBoost,seq6,3,mid_range_memory,16,26.590610843578556,15.967789092571874,42.2175254888675,5299,best_params_based
XGBoost,seq6,3,trend_and_roll,25,23.01039624190245,13.194217729347258,33.892584270090886,5299,best_params_based
XGBoost,seq6,3,weather_enhanced,35,22.981874091399796,12.917465429595726,31.080440713663055,5299,best_params_based
XGBoost,seq6,3,full_48,48,23.270286848146245,12.967368134129591,30.910585087541087,5299,best_params_based
XGBoost,seq6,4,base_short_lag,9,32.26280952051449,20.254684134891633,56.988536463329694,5299,best_params_based
XGBoost,seq6,4,base_plus_daily_cycle,12,30.413687429502748,19.151675633465494,55.53904909171913,5299,best_params_based
XGBoost,seq6,4,mid_range_memory,16,30.623604464004053,18.890659728952357,53.30451333674897,5299,best_params_based
XGBoost,seq6,4,trend_and_roll,25,27.640416781491528,16.670735945079485,45.50269911784937,5299,best_params_based
XGBoost,seq6,4,weather_enhanced,35,27.304590936328182,16.069039683292296,41.921619950388006,5299,best_params_based
XGBoost,seq6,4,full_48,48,27.462643132072266,16.154701449489487,41.92903811155136,5299,best_params_based
XGBoost,seq6,5,base_short_lag,9,35.98606525233253,23.2077362778609,68.49256731977674,5299,best_params_based
XGBoost,seq6,5,base_plus_daily_cycle,12,33.630010458295345,21.562991168080572,65.00157603631187,5299,best_params_based
XGBoost,seq6,5,mid_range_memory,16,33.848027281999485,22.033123411344043,67.62632016192418,5299,best_params_based
XGBoost,seq6,5,trend_and_roll,25,31.36963651168425,19.71760613259388,56.984148378796974,5299,best_params_based
XGBoost,seq6,5,weather_enhanced,35,30.97133324508544,19.053593703113542,54.11756383087446,5299,best_params_based
XGBoost,seq6,5,full_48,48,30.879199977735734,19.027116748039216,53.803896197893295,5299,best_params_based
XGBoost,seq6,6,base_short_lag,9,38.88899378483144,25.70075523650586,80.42004893644273,5298,best_params_based
XGBoost,seq6,6,base_plus_daily_cycle,12,36.35213210184745,23.836702962632494,75.57081573039977,5298,best_params_based
XGBoost,seq6,6,mid_range_memory,16,36.55005497509337,23.899937254612208,74.9608547529857,5298,best_params_based
XGBoost,seq6,6,trend_and_roll,25,34.28882149097505,22.213997641781262,67.6369723086346,5298,best_params_based
XGBoost,seq6,6,weather_enhanced,35,34.08080432177406,21.423402494745588,63.55446376519548,5298,best_params_based
XGBoost,seq6,6,full_48,48,33.882586649959194,21.358108892530584,63.11810014661753,5298,best_params_based
