model,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,1,凌晨,1744,10.080267046848153,4.751279339667217,10.381800337454797,4.751279339667217
ARIMA,1,夜间,870,9.413076417023259,5.57606962703745,10.72604070152361,5.57606962703745
ARIMA,1,早高峰,1165,7.775902602317672,4.264944385186,10.280954621501309,4.264944385186
ARIMA,1,晚高峰,1162,9.238237814015195,5.2518213543708665,11.071775447431186,5.2518213543708665
ARIMA,1,白天平峰,2048,8.378102232970909,4.960166974290152,11.257182132955432,4.960166974290152
ARIMA,12,凌晨,1747,23.69936280999652,18.289368259333184,76.13282651563131,18.289368259333184
ARIMA,12,夜间,878,23.52278354302555,18.074533184029328,68.42311919753273,18.074533184029328
ARIMA,12,早高峰,1156,24.828590302606486,18.79174909570752,56.49966644173998,18.79174909570752
ARIMA,12,晚高峰,1165,22.46261917452963,17.211050888639466,68.01796199339097,17.211050888639466
ARIMA,12,白天平峰,2032,25.077419108077283,18.724804099376673,61.08510033163215,18.724804099376673
LSTM,1,凌晨,1725,8.65516259044202,4.799840263942029,10.170251262967247,4.799840263942029
LSTM,1,夜间,861,9.07293353103338,5.482082929849013,11.248774368880426,5.482082929849013
LSTM,1,早高峰,1152,6.938209232795857,4.262399418749999,9.62587882152902,4.262399418749999
LSTM,1,晚高峰,1149,9.813442098615907,5.738498905744125,11.61309645701896,5.738498905744125
LSTM,1,白天平峰,2020,9.534028455178179,5.255853132079208,11.745857620273851,5.255853132079208
LSTM,12,凌晨,1717,54.586939666196,38.085877732615025,93.75191070170386,38.085877732615025
LSTM,12,夜间,863,60.253971681003165,41.93495728910776,95.78088802694504,41.93495728910776
LSTM,12,早高峰,1140,50.02066756455736,33.993156164035085,83.25528853181773,33.993156164035085
LSTM,12,晚高峰,1148,58.06938410060771,39.61833382404181,100.20442087929334,39.61833382404181
LSTM,12,白天平峰,2004,56.19145613148758,38.68896897929142,105.25746366929043,38.68896897929142
Transformer,1,凌晨,1725,8.921233402794806,4.968717150086957,10.091441345524348,4.968717150086957
Transformer,1,夜间,861,8.36821800138885,5.456978391521486,10.936364940141605,5.456978391521486
Transformer,1,早高峰,1152,7.011889738698204,4.417335805381945,10.510949855325604,4.417335805381945
Transformer,1,晚高峰,1149,9.609484341354037,5.753536671366406,12.28465778738683,5.753536671366406
Transformer,1,白天平峰,2020,9.548727472115496,5.355644576386139,12.25818827724561,5.355644576386139
Transformer,12,凌晨,1717,45.08949867457559,31.963361780430983,106.01889970736448,31.963361780430983
Transformer,12,夜间,863,48.97768698432099,33.94458480822712,108.03458948475037,33.94458480822712
Transformer,12,早高峰,1140,47.26115180162856,32.823147851315795,98.40260281496161,32.823147851315795
Transformer,12,晚高峰,1148,48.270815130062296,32.714666236933795,116.10190132608994,32.714666236933795
Transformer,12,白天平峰,2004,50.008623805514155,34.19213185803393,122.85672872790971,34.19213185803393
XGBoost,1,凌晨,1737,8.756330611382024,4.55073376925734,9.464745021925244,4.55073376925734
XGBoost,1,夜间,867,8.29111277749976,5.084378343483276,10.026130228092937,5.084378343483276
XGBoost,1,早高峰,1160,6.917668436649104,4.1736388619827585,9.768188880175773,4.1736388619827585
XGBoost,1,晚高峰,1157,9.600901124806057,5.418555327484875,11.26600678782556,5.418555327484875
XGBoost,1,白天平峰,2034,9.010643205281152,4.937348068190757,10.299762873210348,4.937348068190757
XGBoost,12,凌晨,1740,43.3272400967199,30.99037632350575,112.93869852130499,30.99037632350575
XGBoost,12,夜间,875,49.497737421448505,34.07551758628571,109.10819782525398,34.07551758628571
XGBoost,12,早高峰,1152,42.83207155191029,29.992152421701388,98.8799656035861,29.992152421701388
XGBoost,12,晚高峰,1161,47.894276823360656,33.791525328832904,117.3105967951867,33.791525328832904
XGBoost,12,白天平峰,2025,45.444443289867294,31.76397556898272,125.74350894697233,31.76397556898272
