model,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,1,0,290,7.171873985445007,4.422225346823036,9.83304929855786,4.422225346823036
ARIMA,1,1,290,13.647865991709299,5.40810994589549,9.907474719232939,5.40810994589549
ARIMA,1,2,291,9.68286860659198,4.764258085374036,10.726134667964574,4.764258085374036
ARIMA,1,3,291,8.876556930102383,4.707531200930723,10.457307166937523,4.707531200930723
ARIMA,1,4,291,9.76802245836951,4.5471362634914785,10.160401477469724,4.5471362634914785
ARIMA,1,5,291,10.204101404904895,4.659541575603261,11.202918967222102,4.659541575603261
ARIMA,1,6,291,8.831531579297984,4.643608197263691,10.998522633041752,4.643608197263691
ARIMA,1,7,291,8.000467383823645,4.200085621275553,11.106482238989651,4.200085621275553
ARIMA,1,8,291,6.25737580648256,3.7820333248526796,9.648951445672493,3.7820333248526796
ARIMA,1,9,292,7.790998472436023,4.433471267173423,9.372982347935576,4.433471267173423
ARIMA,1,10,293,8.902494658867294,5.2329285751709955,10.79773499833464,5.2329285751709955
ARIMA,1,11,293,8.376894848373874,5.284293315315095,11.662139921668293,5.284293315315095
ARIMA,1,12,292,8.070903423057713,4.829626733411211,11.833934559719337,4.829626733411211
ARIMA,1,13,292,8.216284247931839,4.999475367287226,11.384236115120055,4.999475367287226
ARIMA,1,14,293,7.748882497145786,4.594542702639185,9.54768458017065,4.594542702639185
ARIMA,1,15,292,7.3097611216923495,4.579870307254272,10.481019064506695,4.579870307254272
ARIMA,1,16,293,9.783311914341,5.198822506615475,13.09327874011197,5.198822506615475
ARIMA,1,17,291,10.12344904275185,5.027916482759396,10.904744413900909,5.027916482759396
ARIMA,1,18,291,8.358756136745608,5.098401203325814,12.527627083777826,5.098401203325814
ARIMA,1,19,290,8.52736954120143,5.074207444660405,10.43385523812387,5.074207444660405
ARIMA,1,20,290,9.813529505728702,5.808061407505635,10.416430844946916,5.808061407505635
ARIMA,1,21,290,10.216549745936417,5.902438167319368,10.4298709140073,5.902438167319368
ARIMA,1,22,290,9.613365172516529,5.763525542828253,11.301478629390951,5.763525542828253
ARIMA,1,23,290,8.308028902622512,5.062245170964726,10.446772561172581,5.062245170964726
ARIMA,12,0,292,22.867249802519858,18.18419341052437,76.45916528359581,18.18419341052437
ARIMA,12,1,292,23.47890691206623,18.013904944764402,74.30326138693123,18.013904944764402
ARIMA,12,2,291,23.43369454277254,18.139884817868364,77.04970752368602,18.139884817868364
ARIMA,12,3,292,23.347819032432742,18.389988322249295,80.82881390864627,18.389988322249295
ARIMA,12,4,290,24.82524712477891,18.343821963515385,75.6679959130795,18.343821963515385
ARIMA,12,5,290,24.20192589401711,18.66686271653382,72.46283437759851,18.66686271653382
ARIMA,12,6,289,23.65805455849895,18.017913037362227,64.33214752400278,18.017913037362227
ARIMA,12,7,289,25.790990207816044,19.273037685212635,56.05386549920357,19.273037685212635
ARIMA,12,8,289,25.2987135732676,19.385220229497843,52.65861770746504,19.385220229497843
ARIMA,12,9,289,24.513913514653844,18.49082543075737,52.954035036288516,18.49082543075737
ARIMA,12,10,289,26.43399818223379,19.978584054176146,56.19931579536782,19.978584054176146
ARIMA,12,11,289,25.217677308201058,18.904214264950873,55.50470798886992,18.904214264950873
ARIMA,12,12,290,25.574184981951785,19.12081687656984,57.94866623366987,19.12081687656984
ARIMA,12,13,291,25.63793792239457,18.6952326820482,59.772370567365286,18.6952326820482
ARIMA,12,14,291,24.413398412460854,18.573223348298008,63.85946504819856,18.573223348298008
ARIMA,12,15,291,23.56536535339528,17.799717368501902,65.08899525270164,17.799717368501902
ARIMA,12,16,291,24.6045339541029,18.01305107366195,69.13947082406283,18.01305107366195
ARIMA,12,17,291,23.43900300421289,17.531086636884876,70.2583160293949,17.531086636884876
ARIMA,12,18,291,21.9597911182781,17.14943319612142,71.20195093406247,17.14943319612142
ARIMA,12,19,291,22.05070931447363,16.865059075300675,66.91969018504051,16.865059075300675
ARIMA,12,20,292,22.370475360439503,17.298324736122083,63.70670613728626,17.298324736122083
ARIMA,12,21,293,24.207322421057338,18.16519077458578,64.69762339499326,18.16519077458578
ARIMA,12,22,293,23.983575518311852,18.455956343914703,68.38016104518309,18.455956343914703
ARIMA,12,23,292,22.328699503992734,17.60083571868872,72.20447881665095,17.60083571868872
LSTM,1,0,286,8.619640660810497,5.066801016783216,10.135074938363783,5.066801016783216
LSTM,1,1,287,8.513895290793101,5.078850879442509,10.85068158623433,5.078850879442509
LSTM,1,2,288,9.026405493592476,4.652115654166668,9.190492059848525,4.652115654166668
LSTM,1,3,288,9.159130686241022,4.8770069409722225,9.918936357249224,4.8770069409722225
LSTM,1,4,288,9.572264990482907,4.758628772222221,10.407707756879502,4.758628772222221
LSTM,1,5,288,6.758683864347594,4.368461001041667,10.52073320448526,4.368461001041667
LSTM,1,6,288,6.436248345776628,4.243254236805555,9.800918939853911,4.243254236805555
LSTM,1,7,288,5.805533369719526,3.8781960513888887,9.83335489208152,3.8781960513888887
LSTM,1,8,288,7.5961614140359615,4.172051922569444,8.619965278184008,4.172051922569444
LSTM,1,9,288,7.7281181880640615,4.756095464236111,10.249276175996641,4.756095464236111
LSTM,1,10,289,8.24526206305638,5.21895562283737,11.162431834336441,5.21895562283737
LSTM,1,11,289,8.077530793090316,4.9788371702422145,11.389807700803319,4.9788371702422145
LSTM,1,12,288,8.444308937598437,5.043829645138889,11.415838388961912,5.043829645138889
LSTM,1,13,288,9.325685174187386,5.254912255555556,10.753698563043569,5.254912255555556
LSTM,1,14,289,7.710800373399934,4.949986425605537,10.802856371705444,4.949986425605537
LSTM,1,15,288,10.92257248035119,5.547831734375,12.278897608536072,5.547831734375
LSTM,1,16,289,12.885501582085677,5.796892476470589,14.414742292176305,5.796892476470589
LSTM,1,17,287,9.993012925378245,5.677946573170731,12.558601928110907,5.677946573170731
LSTM,1,18,288,9.41399228368522,5.504929509375,11.452452124804761,5.504929509375
LSTM,1,19,287,9.784277756398993,5.7546893627177695,10.99052548238225,5.7546893627177695
