feature,gain,gain_norm
pm25_lag1,178168.625,0.3528345349013353
pm25_roll_mean_3,125964.6015625,0.24945279566667086
pm25_lag2,99739.9453125,0.19751904812320664
pm25_diff_2,30754.951171875,0.06090527382496101
pm25_diff_1,18123.298828125,0.03589030174588483
pm25_diff_3,5263.2802734375,0.010423086822013098
precipitation_flag,3422.668701171875,0.006778049273823245
precipitation,2565.065185546875,0.005079702342284109
hour_cos,2220.537109375,0.004397419457087261
wind_speed_diff_2,2199.583740234375,0.004355924652626888
hour_sin,1899.843017578125,0.003762335975218573
pm25_roll_std_6,1826.5919189453125,0.0036172738616330846
pm25_lag6,1746.2255859375,0.0034581211616078284
humidity,1565.1036376953125,0.0030994380412298385
pm25_lag3,1451.2589111328125,0.0028739867242673295
pm25_diff_6,1438.5496826171875,0.00284881812495718
pm25_roll_mean_24,1374.5740966796875,0.0027221246843511346
wind_speed,1344.2181396484375,0.002662009554761927
pm25_roll_mean_6,1270.4127197265625,0.002515849696305745
month_cos,1259.307373046875,0.0024938573290713586
pres_diff_2,1185.8370361328125,0.0023483610490494544
is_rush_hour,1159.5809326171875,0.00229636502521385
pm25_lag4,1136.2984619140625,0.0022502578067185
dewp_temp_gap,1096.674072265625,0.002171788025114945
pres_diff_1,1072.8548583984375,0.0021246178724208635
weekday,1052.8333740234375,0.0020849685170560373
pm25_roll_mean_12,1031.7747802734375,0.0020432653320454474
temp_diff_1,998.7321166992188,0.0019778296088135325
temp_x_humidity,966.4310302734375,0.001913862460805019
temp_diff_2,965.176513671875,0.001911378090834502
pm25_lag8,929.6703491210938,0.0018410637969715664
pres,918.5128173828125,0.0018189680855547929
pm25_lag12,906.8408203125,0.001795853557631184
temp,853.2884521484375,0.001689801636794774
wind_speed_diff_1,834.1612548828125,0.001651923274366019
dewp,772.5394897460938,0.0015298912003023984
wind_speed_x_pm25_lag1,763.9158935546875,0.0015128135439452719
pm25_lag24,761.1292724609375,0.0015072950854761696
pm25_roll_std_3,745.6751098632812,0.001476690582172439
pm25_roll_std_12,739.89794921875,0.0014652498372653966
month_sin,726.246826171875,0.0014382159661159447
pm25_roll_std_24,593.1155395507812,0.0011745706941396357
is_daytime,577.526123046875,0.001143698342054419
is_weekend,576.324462890625,0.0011413186458405658
is_holiday,0.0,0.0
wind_dir_sin,0.0,0.0
wind_dir_cos,0.0,0.0
wind_speed_x_wind_dir_sin,0.0,0.0
