model,task,horizon_hours,aqi_bucket,n_samples,rmse,mae,mape
ARIMA,h1,1,0-35,2093,8.450533319985874,3.032328561884903,21.574494194896733
ARIMA,h1,1,35-75,1436,8.954013315952311,4.906906104996694,9.3485369948802
ARIMA,h1,1,75-115,913,9.710585299938337,5.808915877467681,6.306241847675233
ARIMA,h1,1,115-150,346,14.551180299772739,8.833881224165156,6.809462563079382
ARIMA,h1,1,>150,516,22.00367893355382,10.684749510605004,5.393010025274737
ARIMA,seq6,1,0-35,2093,14.498708469149015,5.444327940781749,35.9976212213519
ARIMA,seq6,1,35-75,1430,16.878062873506494,9.7138262691695,18.34546379922276
ARIMA,seq6,1,75-115,913,17.49752126117437,11.579629659716405,12.55890891288163
ARIMA,seq6,1,115-150,346,23.62948699706476,16.055079081619315,12.370583605190205
ARIMA,seq6,1,>150,516,32.91229196392212,18.63101154247541,9.491397731752429
ARIMA,seq6,2,0-35,2092,20.455289826751304,8.785452077491499,63.36953035438512
ARIMA,seq6,2,35-75,1431,22.443789260355043,12.93758482108366,24.515292142845848
ARIMA,seq6,2,75-115,913,22.56466643976312,15.86639213335071,17.127055908103863
ARIMA,seq6,2,115-150,346,29.779338316817707,22.286043909935586,17.12079308516964
ARIMA,seq6,2,>150,516,41.285036981675056,26.906728769335,13.643841896541598
ARIMA,seq6,3,0-35,2091,26.170829755449258,12.390684349721148,95.55395314744925
ARIMA,seq6,3,35-75,1432,24.16211976600484,15.147921204267371,28.827801036202278
ARIMA,seq6,3,75-115,913,26.097142119131,19.232826015288623,20.746772072717558
ARIMA,seq6,3,115-150,346,35.35014114812719,28.027085224457714,21.557725896582742
ARIMA,seq6,3,>150,516,49.527470609115014,35.74362005434317,18.03041805329389
ARIMA,seq6,4,0-35,2090,29.845781158695747,15.812676666193251,126.8251851066954
ARIMA,seq6,4,35-75,1433,26.792333037641527,17.008039655062138,32.510222058195545
ARIMA,seq6,4,75-115,913,27.968428216198852,21.476035064730954,23.141903772954482
ARIMA,seq6,4,115-150,346,40.111571813410464,33.116668117747665,25.475374452095643
ARIMA,seq6,4,>150,516,57.671523598496364,44.59090137467911,22.449895313919964
ARIMA,seq6,5,0-35,2089,33.30761448742081,19.184062802641407,156.70630061157112
ARIMA,seq6,5,35-75,1434,27.67583040260175,17.844899160025832,34.13158509177636
ARIMA,seq6,5,75-115,913,29.104309587225092,23.082687776476792,24.91287425229579
ARIMA,seq6,5,115-150,346,44.72507688050379,37.69698261075175,28.973271013376184
ARIMA,seq6,5,>150,516,65.307653882012,53.01189778144506,26.65510504180595
ARIMA,seq6,6,0-35,2088,36.02190442260226,22.22950541949145,185.34137154199644
ARIMA,seq6,6,35-75,1435,28.265773328563363,18.36835011731095,35.203513617205964
ARIMA,seq6,6,75-115,913,29.923820560619852,24.483936649275545,26.369324330664558
ARIMA,seq6,6,115-150,346,48.95117713647796,41.844206431008125,32.05576207518772
ARIMA,seq6,6,>150,516,72.00792497923537,60.18419852802357,30.1651770596256
LSTM,h1,1,0-35,2071,7.770405944682822,2.899155046904162,19.965440916619475
LSTM,h1,1,35-75,1406,8.064280078112244,5.127079109039958,9.913540468764394
LSTM,h1,1,75-115,913,9.162407293094242,5.499599183114961,5.96992409357119
LSTM,h1,1,115-150,346,14.239879837900387,8.918609398637892,6.8583931384852015
LSTM,h1,1,>150,516,23.190450383230996,12.006094483442086,5.887419256855757
LSTM,seq6,1,0-35,2055,8.810679655700149,5.275322293887173,37.07425912534029
LSTM,seq6,1,35-75,1393,14.80902475211449,11.461839799819366,21.89522823372293
LSTM,seq6,1,75-115,913,20.23707323100866,16.270557310599486,17.564747692358118
LSTM,seq6,1,115-150,346,32.304077677891044,25.41377372962202,19.480684203392943
LSTM,seq6,1,>150,516,64.28755401592535,54.76089334487915,26.135033681155395
LSTM,seq6,2,0-35,2054,11.897331911643036,6.240097621863866,43.436574795525964
LSTM,seq6,2,35-75,1394,16.982216190259276,12.686864825540157,24.317198446157533
LSTM,seq6,2,75-115,913,20.73317128777693,16.585908401965572,17.956431228215315
LSTM,seq6,2,115-150,346,32.70014531494812,25.628131789279124,19.694369356429014
LSTM,seq6,2,>150,516,65.82876686092932,55.39558586593746,26.453924345807984
LSTM,seq6,3,0-35,2053,16.40817144293781,8.079205157172662,56.63595038546275
LSTM,seq6,3,35-75,1395,19.24605341938373,14.063969696892633,26.969536174804848
LSTM,seq6,3,75-115,913,22.03253166045301,17.325023744088014,18.692650372076663
LSTM,seq6,3,115-150,346,34.66428681389677,26.97335639027502,20.72612518760809
