model,task,horizon_hours,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,h1,1,516,22.00367893355382,10.684749510605004,5.393010025274737,10.684749510605004
ARIMA,seq6,1,516,32.91229196392212,18.63101154247541,9.491397731752429,18.63101154247541
ARIMA,seq6,2,516,41.285036981675056,26.906728769335,13.643841896541598,26.906728769335
ARIMA,seq6,3,516,49.527470609115014,35.74362005434317,18.03041805329389,35.74362005434317
ARIMA,seq6,4,516,57.671523598496364,44.59090137467911,22.449895313919964,44.59090137467911
ARIMA,seq6,5,516,65.307653882012,53.01189778144506,26.65510504180595,53.01189778144506
ARIMA,seq6,6,516,72.00792497923537,60.18419852802357,30.1651770596256,60.18419852802357
LSTM,h1,1,516,23.190450383230996,12.006094483442086,5.887419256855757,12.006094483442086
LSTM,seq6,1,516,64.28755401592535,54.76089334487915,26.135033681155395,54.76089334487915
LSTM,seq6,2,516,65.82876686092932,55.39558586593746,26.453924345807984,55.39558586593746
LSTM,seq6,3,516,68.57260417789465,57.85983203917511,27.714689382945224,57.85983203917511
LSTM,seq6,4,516,72.57726699464155,62.062821811483815,29.896438970817012,62.062821811483815
LSTM,seq6,5,516,76.37253713037566,65.96477710923483,31.923339557477437,65.96477710923483
LSTM,seq6,6,516,81.00989106296454,71.11230596830679,34.615799664235276,71.11230596830679
Prophet,h1,1,516,21.093691186262827,9.779716055007313,4.948852288174858,9.779716055007313
Prophet,seq6,1,516,21.093691186262827,9.779716055007313,4.948852288174858,9.779716055007313
Prophet,seq6,2,516,31.538471765598327,17.590503459522292,8.925189654371849,17.590503459522292
Prophet,seq6,3,516,38.43247407632383,24.26465448309928,12.246786081901064,24.26465448309928
Prophet,seq6,4,516,46.8971920052778,33.56389640490975,16.82947421824004,33.56389640490975
Prophet,seq6,5,516,53.662516546746765,40.84664863907123,20.438477668666387,40.84664863907123
Prophet,seq6,6,516,62.48891145490665,50.64613426331885,25.322889018865013,50.64613426331885
Transformer,h1,1,516,23.618521622176782,13.232400328613991,6.503850351499377,13.232400328613991
Transformer,seq6,1,516,41.883003092811414,28.410655644050863,13.554119538028983,28.410655644050863
Transformer,seq6,2,516,45.36941627133942,31.02853293936382,14.960188994455894,31.02853293936382
Transformer,seq6,3,516,50.46875610526921,36.016700486111084,17.480243142202625,36.016700486111084
Transformer,seq6,4,516,56.163012899399995,42.179204201860024,20.537691536082516,42.179204201860024
Transformer,seq6,5,516,61.949018083549156,48.80954791824947,23.885145360575727,48.80954791824947
Transformer,seq6,6,516,67.83351035493543,55.77323949868365,27.428791565400385,55.77323949868365
XGBoost,h1,1,516,25.176691877663988,13.313663562654245,6.446862808919287,13.313663562654245
XGBoost,seq6,1,516,25.176691877663988,13.313663562654245,6.446862808919287,13.313663562654245
XGBoost,seq6,2,516,37.62857021555327,22.93683921318693,11.18255331976142,22.93683921318693
XGBoost,seq6,3,516,47.93307847685045,33.28431566984736,16.2437384608955,33.28431566984736
XGBoost,seq6,4,516,57.35191791859835,43.18932062373742,21.12054916805961,43.18932062373742
XGBoost,seq6,5,516,64.01056519123286,50.637169111411986,24.620964284375113,50.637169111411986
XGBoost,seq6,6,516,69.70154930386371,56.59180640628394,27.637020024334724,56.59180640628394
