model,task,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,h1,1,daytime,1547,7.800844135871947,4.814735218753641,12.96131407508912,4.814735218753641
ARIMA,h1,1,evening_peak,884,8.218485769674375,4.9535766821231215,12.00851611530413,4.9535766821231215
ARIMA,h1,1,morning_peak,884,7.198202209878468,4.178646878075848,11.39930682504268,4.178646878075848
ARIMA,h1,1,night,663,8.210388795905232,5.136643500287099,11.28860937261201,5.136643500287099
ARIMA,h1,1,overnight,1326,17.995930741378253,6.289214964286241,16.024408094939922,6.289214964286241
ARIMA,seq6,1,daytime,1547,15.515638172519653,9.102291305494429,22.915967374310373,9.102291305494429
ARIMA,seq6,1,evening_peak,882,16.150931390377536,9.695063631656746,19.687395866721666,9.695063631656746
ARIMA,seq6,1,morning_peak,884,14.505940501987707,8.161183366015996,19.926543547462952,8.161183366015996
ARIMA,seq6,1,night,660,15.379074851581535,9.599709190765266,21.062023024846773,9.599709190765266
ARIMA,seq6,1,overnight,1325,26.55564011560809,11.203038647745588,28.59608835377833,11.203038647745588
ARIMA,seq6,2,daytime,1547,21.353183008087356,13.074225141751949,37.02441069713935,13.074225141751949
ARIMA,seq6,2,evening_peak,883,22.345519254372938,13.592312141396084,30.66885103413806,13.592312141396084
ARIMA,seq6,2,morning_peak,884,19.809748608784936,11.755287090056568,33.60929160107071,11.755287090056568
ARIMA,seq6,2,night,660,21.17574798409486,14.08917738258171,32.473214914798845,14.08917738258171
ARIMA,seq6,2,overnight,1324,33.18714726889261,15.902824853013417,45.884565707882786,15.902824853013417
ARIMA,seq6,3,daytime,1547,26.27385614881611,16.862276238303743,53.36584634453247,16.862276238303743
ARIMA,seq6,3,evening_peak,884,27.65784418447918,17.000431366567927,43.00689854949569,17.000431366567927
ARIMA,seq6,3,morning_peak,884,24.723401184811568,15.434978369870615,51.05404015545534,15.434978369870615
ARIMA,seq6,3,night,660,26.41035209724109,18.068139828189075,41.556812479262646,18.068139828189075
