model,task,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
ARIMA,h1,1,0,221,7.06387788641757,4.509246908998049,10.880402458752265,4.509246908998049
ARIMA,h1,1,1,221,37.54275703796667,13.144383963393349,32.36279501020677,13.144383963393349
ARIMA,h1,1,2,221,16.710637582369728,7.702038866919409,18.526927140685384,7.702038866919409
ARIMA,h1,1,3,221,7.30769284798794,4.083805153890844,11.242824359298245,4.083805153890844
ARIMA,h1,1,4,221,10.86309906916965,4.494933011655108,11.592769389391275,4.494933011655108
ARIMA,h1,1,5,221,5.754081866679177,3.8008818808606923,11.540730211305588,3.8008818808606923
ARIMA,h1,1,6,221,7.523976826039378,4.367194239516872,12.98110280074881,4.367194239516872
ARIMA,h1,1,7,221,8.440894027026754,4.32627848265515,12.368573184812249,4.32627848265515
ARIMA,h1,1,8,221,6.291011220389576,3.893128208055467,10.761650105780953,3.893128208055467
ARIMA,h1,1,9,221,6.310365978915639,4.127986582075904,9.485901208828714,4.127986582075904
ARIMA,h1,1,10,221,6.942048243774182,4.7556017493609595,11.700340686396038,4.7556017493609595
ARIMA,h1,1,11,221,8.425662358128724,5.478529673037184,13.993525295842444,5.478529673037184
ARIMA,h1,1,12,221,8.73602607171606,5.117894173613404,14.86504792854674,5.117894173613404
ARIMA,h1,1,13,221,8.237377851223318,5.031200078049774,13.424213610862342,5.031200078049774
ARIMA,h1,1,14,221,7.223980110932993,4.3785158688241586,10.257143004257298,4.3785158688241586
ARIMA,h1,1,15,221,7.07689423056207,4.465129374010019,11.998029047027124,4.465129374010019
ARIMA,h1,1,16,221,7.768365249513784,4.476275614379987,14.490898952691856,4.476275614379987
ARIMA,h1,1,17,221,7.0620219856378545,4.4451475160106,12.62017481389096,4.4451475160106
ARIMA,h1,1,18,221,8.814039684224309,5.178954269224369,13.609522216370603,5.178954269224369
ARIMA,h1,1,19,221,8.76111509295214,4.9376710752532205,11.07899095377968,4.9376710752532205
ARIMA,h1,1,20,221,8.1152600471392,5.2525338680043,10.725376477175274,5.2525338680043
ARIMA,h1,1,21,221,8.030702911260125,5.086517343571693,10.255018349850616,5.086517343571693
ARIMA,h1,1,22,221,8.427672284957561,5.326288296082398,11.690902290701477,5.326288296082398
ARIMA,h1,1,23,221,8.167839564304305,4.997124861207207,11.91990747728394,4.997124861207207
ARIMA,seq6,1,0,220,38.777812775393194,16.305907054536636,39.73622851523728,16.305907054536636
ARIMA,seq6,1,1,221,37.91024500126561,15.88028830630551,40.75222128925958,15.88028830630551
ARIMA,seq6,1,2,221,22.024102892164745,11.044048897483822,25.713308679715404,11.044048897483822
ARIMA,seq6,1,3,221,19.060442410844153,8.247650104735577,20.545447855685175,8.247650104735577
ARIMA,seq6,1,4,221,16.679127348878936,8.019368039417673,24.36816315043437,8.019368039417673
ARIMA,seq6,1,5,221,12.93696361991708,7.7440593862874785,20.511568506371987,7.7440593862874785
ARIMA,seq6,1,6,221,15.818071556920998,8.746087571558336,23.483966678846873,8.746087571558336
ARIMA,seq6,1,7,221,15.743598875431115,7.9073789551353375,21.50058298340359,7.9073789551353375
ARIMA,seq6,1,8,221,13.00906135915839,7.828074068687069,18.01214180763324,7.828074068687069
ARIMA,seq6,1,9,221,13.205349999607463,8.16319286868324,16.709482719968108,8.16319286868324
ARIMA,seq6,1,10,221,15.565788967923908,9.640127514847643,21.51869998016029,9.640127514847643
ARIMA,seq6,1,11,221,17.206326431286858,10.09643176785143,26.955839141752673,10.09643176785143
ARIMA,seq6,1,12,221,16.319974306051233,9.951231077431467,26.782908721936327,9.951231077431467
ARIMA,seq6,1,13,221,14.865418615747878,8.953036960303246,20.036925970003693,8.953036960303246
ARIMA,seq6,1,14,221,14.022550487892527,8.012381696845136,16.571376944820233,8.012381696845136
ARIMA,seq6,1,15,221,15.784994617138222,8.66721440962909,20.7035137020733,8.66721440962909
ARIMA,seq6,1,16,221,14.617576085990697,8.395615711553004,27.8425071594261,8.395615711553004
ARIMA,seq6,1,17,221,15.079903746700417,8.777718378680618,19.530288799390014,8.777718378680618
ARIMA,seq6,1,18,221,16.8854392332871,9.477761097787047,19.118338325678582,9.477761097787047
ARIMA,seq6,1,19,220,17.456759825463408,10.333703832496473,20.584690524982644,10.333703832496473
ARIMA,seq6,1,20,220,15.039682978508802,10.19622870760305,19.5195665650553,10.19622870760305
ARIMA,seq6,1,21,220,15.920574464056878,10.260864350260007,20.67327337157136,10.260864350260007
ARIMA,seq6,1,22,220,16.067215887132217,9.920033652005502,22.685109118482547,9.920033652005502
ARIMA,seq6,1,23,220,14.068678411362917,8.618229570030284,19.82768658448642,8.618229570030284
