model,task,horizon_hours,rmse,mae,mape,n_samples,notes
ARIMA,h1,1,11.270823820559894,5.140719210777088,13.098865290603609,5304,"order=(7, 1, 3),seasonal=(0, 0, 0, 0)"
ARIMA,h1,1,11.270823820559894,5.140719210777088,13.098865290603609,5304,summary_from_prediction_rows
ARIMA,seq6,1,18.83245349252147,9.631296931379246,23.06929057070953,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6,2,24.757647841302568,13.77382198577703,37.04255557341809,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6,3,29.427912748186543,17.610682092759482,52.2440919013338,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6,4,33.3072269213964,21.04490512461729,66.66269701198618,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6,5,36.56177680233162,23.997146426701395,79.80905910980096,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6,6,39.28868614159696,26.549785911781225,92.15582181484665,5298,"order=(7, 1, 3),seasonal=(0, 0, 0, 0),rolling_steps=6"
ARIMA,seq6_mean,0,31.153759074325308,18.767939745502613,58.49725266368253,31788,summary_from_prediction_rows
LSTM,h1,1,11.045760850731725,5.238945352059689,12.594881777853317,5252,rebuilt_from_prediction_file
LSTM,h1,1,11.045760850731723,5.238945352059689,12.594881777853317,5252,summary_from_prediction_rows
LSTM,seq6,1,25.25978519945513,15.070253811233144,27.369378554302788,5223,rebuilt_from_prediction_file
LSTM,seq6,2,26.584398274725284,15.909829668585148,30.62906332281751,5223,rebuilt_from_prediction_file
LSTM,seq6,3,28.874947824831523,17.46353575271732,36.84367565219719,5223,rebuilt_from_prediction_file
LSTM,seq6,4,31.534081986581825,19.34458421962416,45.00697799401486,5223,rebuilt_from_prediction_file
LSTM,seq6,5,34.18851421564612,21.387982647651324,54.11176962466537,5223,rebuilt_from_prediction_file
LSTM,seq6,6,36.81339458180497,23.46881545276996,63.69960049089599,5223,rebuilt_from_prediction_file
LSTM,seq6_mean,0,30.814034798784306,18.774166925430176,42.94341093981562,31338,summary_from_prediction_rows
Prophet,h1,1,11.799939808859923,6.769724212133258,24.17640626065446,5299,"direct_with_48_features,fit_time_s=30.2,pred_time_s=2.1,yearly=False,changepoint=0.1,seasonality=5.0"
Prophet,h1,1,11.799939808859923,6.769724212133258,24.17640626065446,5299,summary_from_prediction_rows
Prophet,seq6,1,11.799939808859923,6.769724212133258,24.17640626065446,5299,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6,2,19.538261647138963,12.47717755404824,45.61482519424491,5299,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6,3,25.2030800724244,16.52114780768974,60.84328195040468,5299,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6,4,28.55651689586191,18.5520615274334,64.25284373553279,5299,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6,5,32.07822967494135,21.436884562971965,76.09402723129863,5299,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6,6,34.736990661542286,23.38205994980986,80.26665086774693,5298,"direct_multi_horizon_with_48_features,h1:fit=22.8,h2:fit=27.6,h3:fit=24.1,h4:fit=13.2,h5:fit=19.7,h6:fit=11.3,h1:pred=2.6,h2:pred=2.5,h3:pred=1.5,h4:pred=1.5,h5:pred=1.4,h6:pred=1.5"
Prophet,seq6_mean,0,26.48026970751985,16.522960200015547,58.54065587032582,31793,summary_from_prediction_rows
Transformer,h1,1,11.167300673345006,5.491677826901746,12.863597304335372,5252,rebuilt_from_prediction_file
Transformer,h1,1,11.167300673345006,5.491677826901746,12.863597304335372,5252,summary_from_prediction_rows
Transformer,seq6,1,17.592938545005925,10.512948370341617,27.04353007694955,5223,rebuilt_from_prediction_file
Transformer,seq6,2,20.63701586523169,12.246013610282668,31.37241135635957,5223,rebuilt_from_prediction_file
